# debug_timelimit.txt — subproblems that hit Gurobi TimeLimit
# Format: [Iter N] [MS/CS TimeLimit] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., dual<primal=...

[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=0, dual_bound=0.9960030768961174, primal_obj=0.9960030768961176, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=1, dual_bound=0.9451262700425319, primal_obj=0.9451262700425322, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=2, dual_bound=0.9567834120490982, primal_obj=0.9567834120490982, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=3, dual_bound=1.0550014305085098, primal_obj=1.0550014305085098, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=4, dual_bound=0.968337628799988, primal_obj=0.9683376287999882, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=5, dual_bound=1.0374245479772295, primal_obj=1.0374245479772295, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=6, dual_bound=1.01304034538819, primal_obj=1.0130403453881902, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=8, dual_bound=1.0466687746451917, primal_obj=1.0466687746451921, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=9, dual_bound=0.9569143918879786, primal_obj=0.9569143918879784, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=10, dual_bound=0.9643371487044905, primal_obj=0.9643371487044905, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=11, dual_bound=1.0346400472441142, primal_obj=1.0346400472441142, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=12, dual_bound=0.9517300838063916, primal_obj=0.9517300838063915, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=13, dual_bound=0.9741649873197425, primal_obj=0.9741649873197429, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=14, dual_bound=0.9988681131253051, primal_obj=0.998868113125305, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=15, dual_bound=1.071032986323835, primal_obj=1.0710329863238346, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=16, dual_bound=0.9545159261569862, primal_obj=0.9545159261569859, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=17, dual_bound=0.9535729621136931, primal_obj=0.9535729621136931, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=7, verts=(0, 1, 3, 8), scenario=19, dual_bound=0.9480961285501311, primal_obj=0.948096128550131, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=0, dual_bound=0.9963496101484043, primal_obj=0.9963496101484043, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=1, dual_bound=0.9451524351349165, primal_obj=0.9451524351349168, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=2, dual_bound=0.9559813041365324, primal_obj=0.9559813041365325, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=3, dual_bound=1.0551989613974155, primal_obj=1.0551989613974153, dual<primal=False
