# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 23] scenario=3, simplex_idx=53, verts=(1, 8, 30, 31), time=3.6448s, status=time_limit, dual_bound=1.0546880980175233, primal_obj=1.0546880980175235
[Iter 23] scenario=4, simplex_idx=53, verts=(1, 8, 30, 31), time=3.4866s, status=time_limit, dual_bound=0.9684238876136325, primal_obj=0.9684238876136324
[Iter 23] scenario=8, simplex_idx=53, verts=(1, 8, 30, 31), time=4.1971s, status=time_limit, dual_bound=1.0108016074434916, primal_obj=1.0108016074434911
[Iter 23] scenario=9, simplex_idx=53, verts=(1, 8, 30, 31), time=3.7174s, status=time_limit, dual_bound=0.9569220427612769, primal_obj=0.9569220427612772
[Iter 23] scenario=10, simplex_idx=53, verts=(1, 8, 30, 31), time=3.1546s, status=time_limit, dual_bound=0.964472356547451, primal_obj=0.9644723565474511
[Iter 23] scenario=13, simplex_idx=53, verts=(1, 8, 30, 31), time=3.0801s, status=time_limit, dual_bound=0.9741733546981355, primal_obj=0.9741733546981357
[Iter 23] scenario=14, simplex_idx=53, verts=(1, 8, 30, 31), time=3.3615s, status=time_limit, dual_bound=0.9928816396157862, primal_obj=0.9928816396157863
[Iter 23] scenario=15, simplex_idx=53, verts=(1, 8, 30, 31), time=3.3120s, status=time_limit, dual_bound=1.071087375025841, primal_obj=1.0710873750258405
[Iter 23] scenario=16, simplex_idx=53, verts=(1, 8, 30, 31), time=3.0738s, status=time_limit, dual_bound=0.9545208811877428, primal_obj=0.9545208811877426
[Iter 48] scenario=8, simplex_idx=92, verts=(4, 38, 39, 56), time=3.7698s, status=time_limit, dual_bound=1.010801729761812, primal_obj=1.010801729761812
[Iter 48] scenario=9, simplex_idx=92, verts=(4, 38, 39, 56), time=3.8913s, status=time_limit, dual_bound=0.9569194168115153, primal_obj=0.9569194168115152
[Iter 48] scenario=10, simplex_idx=92, verts=(4, 38, 39, 56), time=3.7383s, status=time_limit, dual_bound=0.9643560344008432, primal_obj=0.964356034400843
[Iter 48] scenario=11, simplex_idx=92, verts=(4, 38, 39, 56), time=4.3597s, status=time_limit, dual_bound=1.0345715460834515, primal_obj=1.0345715460834508
[Iter 48] scenario=12, simplex_idx=92, verts=(4, 38, 39, 56), time=3.1009s, status=time_limit, dual_bound=0.9517321691009404, primal_obj=0.9517321691009405
[Iter 48] scenario=13, simplex_idx=92, verts=(4, 38, 39, 56), time=3.2289s, status=time_limit, dual_bound=0.974173240702575, primal_obj=0.9741732407025749
[Iter 48] scenario=14, simplex_idx=92, verts=(4, 38, 39, 56), time=4.4578s, status=time_limit, dual_bound=0.9928960687505265, primal_obj=0.9928960687505265
[Iter 48] scenario=17, simplex_idx=92, verts=(4, 38, 39, 56), time=3.7025s, status=time_limit, dual_bound=0.953578813056644, primal_obj=0.9535788130566442
[Iter 48] scenario=19, simplex_idx=92, verts=(4, 38, 39, 56), time=3.1900s, status=time_limit, dual_bound=0.9481013628473224, primal_obj=0.9481013628473224
[Iter 49] scenario=0, simplex_idx=95, verts=(1, 4, 33, 57), time=3.1637s, status=time_limit, dual_bound=0.9960208607282302, primal_obj=0.9960208607282299
[Iter 49] scenario=2, simplex_idx=95, verts=(1, 4, 33, 57), time=3.0862s, status=time_limit, dual_bound=0.9559353314106911, primal_obj=0.9559353314106908
