# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 1] scenario=2, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0868s, status=time_limit, dual_bound=0.9559903567998825, primal_obj=0.9559903567998828
[Iter 1] scenario=3, simplex_idx=8, verts=(4, 7, 8, 9), time=3.2346s, status=time_limit, dual_bound=1.0701366308425775, primal_obj=1.070136630842578
[Iter 1] scenario=4, simplex_idx=8, verts=(4, 7, 8, 9), time=3.6366s, status=time_limit, dual_bound=0.9691208783551487, primal_obj=0.9691208783551488
[Iter 1] scenario=5, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0091s, status=time_limit, dual_bound=0.9434483677868437, primal_obj=0.9434483677868438
[Iter 1] scenario=6, simplex_idx=8, verts=(4, 7, 8, 9), time=3.2714s, status=time_limit, dual_bound=1.0130730271414765, primal_obj=1.0130730271414767
[Iter 1] scenario=8, simplex_idx=8, verts=(4, 7, 8, 9), time=3.3280s, status=time_limit, dual_bound=1.016376331842581, primal_obj=1.0163763318425811
[Iter 1] scenario=9, simplex_idx=8, verts=(4, 7, 8, 9), time=3.1387s, status=time_limit, dual_bound=0.9573108022064218, primal_obj=0.9573108022064217
[Iter 1] scenario=10, simplex_idx=8, verts=(4, 7, 8, 9), time=3.5176s, status=time_limit, dual_bound=0.9652418195307536, primal_obj=0.9652418195307534
[Iter 1] scenario=11, simplex_idx=8, verts=(4, 7, 8, 9), time=3.2352s, status=time_limit, dual_bound=1.0376771467163983, primal_obj=1.0376771467163988
[Iter 1] scenario=12, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0146s, status=time_limit, dual_bound=0.9518911480653557, primal_obj=0.9518911480653559
[Iter 1] scenario=13, simplex_idx=8, verts=(4, 7, 8, 9), time=3.5199s, status=time_limit, dual_bound=0.9745379230708622, primal_obj=0.9745379230708623
[Iter 1] scenario=14, simplex_idx=8, verts=(4, 7, 8, 9), time=3.1872s, status=time_limit, dual_bound=0.996088247892481, primal_obj=0.9960882478924811
[Iter 1] scenario=15, simplex_idx=8, verts=(4, 7, 8, 9), time=3.2819s, status=time_limit, dual_bound=1.078164655109505, primal_obj=1.078164655109505
[Iter 1] scenario=16, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0465s, status=time_limit, dual_bound=0.9553643547319495, primal_obj=0.9553643547319496
[Iter 1] scenario=17, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0171s, status=time_limit, dual_bound=0.9540423815131882, primal_obj=0.9540423815131885
[Iter 1] scenario=19, simplex_idx=8, verts=(4, 7, 8, 9), time=3.0188s, status=time_limit, dual_bound=0.9483995544407816, primal_obj=0.9483995544407818
[Iter 8] scenario=0, simplex_idx=29, verts=(0, 3, 4, 16), time=3.1488s, status=time_limit, dual_bound=0.9961211222260509, primal_obj=0.9961211222260508
[Iter 8] scenario=1, simplex_idx=29, verts=(0, 3, 4, 16), time=3.2139s, status=time_limit, dual_bound=0.9451333072450776, primal_obj=0.9451333072450776
[Iter 8] scenario=2, simplex_idx=29, verts=(0, 3, 4, 16), time=3.4204s, status=time_limit, dual_bound=0.9559783219315977, primal_obj=0.9559783219315978
